"Number","Name","Evolution_Chain","isBaby","hasGenderDifference","genderRate","hasForms","forms","isForm","Types","isLegendary","isMythical","region"
"10158","Pikachu-starter","10","false","true","4","false","","true","[electric]","false","false","kanto"
"10160","Pikachu-world-cap","10","false","true","4","false","","true","[electric]","false","false","kanto"
"10229","Growlithe-hisui","25","false","false","2","false","","true","[fire, rock]","false","false","kanto"
"10230","Arcanine-hisui","25","false","false","2","false","","true","[fire, rock]","false","false","kanto"
"10231","Voltorb-hisui","44","false","false","-1","false","","true","[electric, grass]","false","false","kanto"
"10232","Electrode-hisui","44","false","false","-1","false","","true","[electric, grass]","false","false","kanto"
"10159","Eevee-starter","67","false","false","1","false","","true","[normal]","false","false","kanto"
"10233","Typhlosion-hisui","80","false","false","1","false","","true","[fire, ghost]","false","false","johto"
"10234","Qwilfish-hisui","106","false","false","4","false","","true","[dark, poison]","false","false","johto"
"10235","Sneasel-hisui","109","false","true","4","false","","true","[fighting, poison]","false","false","johto"
"10245","Dialga-origin","244","false","false","-1","false","","true","[steel, dragon]","false","false","sinnoh"
"10246","Palkia-origin","245","false","false","-1","false","","true","[water, dragon]","false","false","sinnoh"
"10236","Samurott-hisui","258","false","false","1","false","","true","[water, dark]","false","false","unova"
"10237","Lilligant-hisui","279","false","false","8","false","","true","[grass, fighting]","false","false","unova"
"10247","Basculin-white-striped","280","false","false","4","false","","true","[water]","false","false","unova"
"10238","Zorua-hisui","291","false","false","1","false","","true","[normal, ghost]","false","false","unova"
"10239","Zoroark-hisui","291","false","false","1","false","","true","[normal, ghost]","false","false","unova"
"10240","Braviary-hisui","319","false","false","0","false","","true","[psychic, flying]","false","false","unova"
"10241","Sliggoo-hisui","362","false","false","4","false","","true","[steel, dragon]","false","false","kalos"
"10242","Goodra-hisui","362","false","false","4","false","","true","[steel, dragon]","false","false","kalos"
"10243","Avalugg-hisui","366","false","false","4","false","","true","[ice, rock]","false","false","kalos"
"10181","Zygarde-10","370","false","false","-1","false","","true","[dragon, ground]","false","false","kalos"
"10244","Decidueye-hisui","374","false","false","1","false","","true","[grass, fighting]","false","false","alola"
"10153","Araquanid-totem","387","false","false","4","false","","true","[water, bug]","false","false","alola"
"10128","Lurantis-totem","388","false","false","4","false","","true","[grass]","false","false","alola"
"10129","Salazzle-totem","390","false","false","8","false","","true","[poison, fire]","false","false","alola"
"10154","Togedemaru-totem","403","false","false","4","false","","true","[electric, steel]","false","false","alola"
"10146","Kommo-o-totem","408","false","false","4","false","","true","[dragon, fighting]","false","false","alola"
"10182","Cramorant-gulping","444","false","false","4","false","","true","[flying, water]","false","false","galar"
"10183","Cramorant-gorging","444","false","false","4","false","","true","[flying, water]","false","false","galar"
"10187","Morpeko-hangry","459","false","false","4","false","","true","[electric, dark]","false","false","galar"
"10192","Zarude-dada","471","false","false","-1","false","","true","[dark, grass]","false","false","galar"
